ID,Text,Comment
Building.BorderlessSquareBanner.Description,A square customizable banner without borders.,
Building.BorderlessSquareBanner.DisplayName,Borderless Square Banner,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Think of the bigger picture.,
Calloatti.BannerTweaks.Current,Current,
Calloatti.BannerTweaks.FolderTag,FOLDER,
Calloatti.BannerTweaks.GroupTag,GROUP,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Next,
Calloatti.BannerTweaks.Original,Original,
Calloatti.BannerTweaks.PanelTitle,Banners,
Calloatti.BannerTweaks.Prev,Prev,
Calloatti.BannerTweaks.Top,Top,
