ID,Text,Comment
Building.BorderlessSquareBanner.Description,Un estandarte cuadrado y personalizable sin bordes.,
Building.BorderlessSquareBanner.DisplayName,Estandarte cuadrado sin bordes,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Piensa a lo grande.,
Calloatti.BannerTweaks.Current,Actual,
Calloatti.BannerTweaks.FolderTag,CARPETA,
Calloatti.BannerTweaks.GroupTag,GRUPO,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Siguiente,
Calloatti.BannerTweaks.Original,Original,
Calloatti.BannerTweaks.PanelTitle,Banners,
Calloatti.BannerTweaks.Prev,Anterior,
Calloatti.BannerTweaks.Top,Inicio,
