ID,Text,Comment
Building.BorderlessSquareBanner.Description,Uno striscione personalizzabile di forma quadrata senza bordi.,
Building.BorderlessSquareBanner.DisplayName,Striscione quadrato senza bordi,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Pensa al quadro generale.,
Calloatti.BannerTweaks.Current,Attuale,
Calloatti.BannerTweaks.FolderTag,CARTELLA,
Calloatti.BannerTweaks.GroupTag,GRUPPO,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Successivo,
Calloatti.BannerTweaks.Original,Originale,
Calloatti.BannerTweaks.PanelTitle,Banner,
Calloatti.BannerTweaks.Prev,Precedente,
Calloatti.BannerTweaks.Top,Inizio,
