ID,Text,Comment
Building.BorderlessSquareBanner.Description,테두리 없이 커스텀 가능한 정사각형 현수막입니다.,
Building.BorderlessSquareBanner.DisplayName,테두리 없는 정사각형 현수막,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,큰 그림을 생각하세요.,
Calloatti.BannerTweaks.Current,현재,
Calloatti.BannerTweaks.FolderTag,폴더,
Calloatti.BannerTweaks.GroupTag,그룹,
Calloatti.BannerTweaks.ModTag,모드,
Calloatti.BannerTweaks.Next,다음,
Calloatti.BannerTweaks.Original,원본,
Calloatti.BannerTweaks.PanelTitle,배너,
Calloatti.BannerTweaks.Prev,이전,
Calloatti.BannerTweaks.Top,처음으로,
