ID,Text,Comment
Building.BorderlessSquareBanner.Description,Kwadratowy, konfigurowalny baner bez ramy.,
Building.BorderlessSquareBanner.DisplayName,Bezramienny kwadratowy baner,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Myśl o szerszym obrazie.,
Calloatti.BannerTweaks.Current,Aktualny,
Calloatti.BannerTweaks.FolderTag,FOLDER,
Calloatti.BannerTweaks.GroupTag,GRUPA,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Dalej,
Calloatti.BannerTweaks.Original,Oryginalny,
Calloatti.BannerTweaks.PanelTitle,Transparenty,
Calloatti.BannerTweaks.Prev,Wstecz,
Calloatti.BannerTweaks.Top,Początek,
