ID,Text,Comment
Building.BorderlessSquareBanner.Description,Квадратный настраиваемый баннер без рамки.,
Building.BorderlessSquareBanner.DisplayName,Безрамочный квадратный баннер,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Смотри шире.,
Calloatti.BannerTweaks.Current,Текущий,
Calloatti.BannerTweaks.FolderTag,ПАПКА,
Calloatti.BannerTweaks.GroupTag,ГРУППА,
Calloatti.BannerTweaks.ModTag,МОД,
Calloatti.BannerTweaks.Next,Далее,
Calloatti.BannerTweaks.Original,Оригинал,
Calloatti.BannerTweaks.PanelTitle,Баннеры,
Calloatti.BannerTweaks.Prev,Назад,
Calloatti.BannerTweaks.Top,В начало,
