ID,Text,Comment
Building.BorderlessSquareBanner.Description,ธงสี่เหลี่ยมที่ปรับแต่งได้ ไม่มีขอบ.,
Building.BorderlessSquareBanner.DisplayName,ธงสี่เหลี่ยมไม่มีขอบ,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,คิดให้กว้างขึ้น.,
Calloatti.BannerTweaks.Current,ปัจจุบัน,
Calloatti.BannerTweaks.FolderTag,โฟลเดอร์,
Calloatti.BannerTweaks.GroupTag,กลุ่ม,
Calloatti.BannerTweaks.ModTag,ม็อด,
Calloatti.BannerTweaks.Next,ถัดไป,
Calloatti.BannerTweaks.Original,ดั้งเดิม,
Calloatti.BannerTweaks.PanelTitle,ป้าย,
Calloatti.BannerTweaks.Prev,ก่อนหน้า,
Calloatti.BannerTweaks.Top,บนสุด,
