ID,Text,Comment
Building.BorderlessSquareBanner.Description,Kenarlıksız özelleştirilebilir kare afiş.,
Building.BorderlessSquareBanner.DisplayName,Kenarlıksız kare afiş,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Büyük resmi düşün.,
Calloatti.BannerTweaks.Current,Mevcut,
Calloatti.BannerTweaks.FolderTag,KLASÖR,
Calloatti.BannerTweaks.GroupTag,GRUP,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Sonraki,
Calloatti.BannerTweaks.Original,Orijinal,
Calloatti.BannerTweaks.PanelTitle,Bannerler,
Calloatti.BannerTweaks.Prev,Önceki,
Calloatti.BannerTweaks.Top,Baş,
