ID,Text,Comment
Building.BorderlessSquareBanner.Description,Ein quadratisches, anpassbares Banner ohne Rahmen.,
Building.BorderlessSquareBanner.DisplayName,Rahmenloses quadratisches Banner,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Denk an das große Ganze.,
Calloatti.BannerTweaks.Current,Aktuell,
Calloatti.BannerTweaks.FolderTag,ORDNER,
Calloatti.BannerTweaks.GroupTag,GRUPPE,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Weiter,
Calloatti.BannerTweaks.Original,Original,
Calloatti.BannerTweaks.PanelTitle,Banner,
Calloatti.BannerTweaks.Prev,Zurück,
Calloatti.BannerTweaks.Top,Anfang,
