ID,Text,Comment
Building.BorderlessSquareBanner.Description,Une bannière carrée et personnalisable sans bordure.,
Building.BorderlessSquareBanner.DisplayName,Bannière carrée sans bordure,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Voyez les choses en grand.,
Calloatti.BannerTweaks.Current,Actuel,
Calloatti.BannerTweaks.FolderTag,DOSSIER,
Calloatti.BannerTweaks.GroupTag,GROUPE,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Suivant,
Calloatti.BannerTweaks.Original,Original,
Calloatti.BannerTweaks.PanelTitle,Bannières,
Calloatti.BannerTweaks.Prev,Précédent,
Calloatti.BannerTweaks.Top,Début,
