ID,Text,Comment
Building.BorderlessSquareBanner.Description,枠なしでカスタマイズ可能な四角いバナー。,
Building.BorderlessSquareBanner.DisplayName,枠なし四角バナー,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,でっかく考えよう。,
Calloatti.BannerTweaks.Current,現在,
Calloatti.BannerTweaks.FolderTag,フォルダ,
Calloatti.BannerTweaks.GroupTag,グループ,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,次へ,
Calloatti.BannerTweaks.Original,オリジナル,
Calloatti.BannerTweaks.PanelTitle,バナー,
Calloatti.BannerTweaks.Prev,前へ,
Calloatti.BannerTweaks.Top,先頭へ,
