ID,Text,Comment
Building.BorderlessSquareBanner.Description,Uma bandeira quadrada personalizável sem borda.,
Building.BorderlessSquareBanner.DisplayName,Bandeira quadrada sem borda,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,Pense no todo.,
Calloatti.BannerTweaks.Current,Atual,
Calloatti.BannerTweaks.FolderTag,PASTA,
Calloatti.BannerTweaks.GroupTag,GRUPO,
Calloatti.BannerTweaks.ModTag,MOD,
Calloatti.BannerTweaks.Next,Próximo,
Calloatti.BannerTweaks.Original,Original,
Calloatti.BannerTweaks.PanelTitle,Banners,
Calloatti.BannerTweaks.Prev,Anterior,
Calloatti.BannerTweaks.Top,Início,
