ID,Text,Comment
Building.BorderlessSquareBanner.Description,无边框的可自定义方形旗帜。,
Building.BorderlessSquareBanner.DisplayName,无边框方形旗帜,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,着眼大局。,
Calloatti.BannerTweaks.Current,当前,
Calloatti.BannerTweaks.FolderTag,文件夹,
Calloatti.BannerTweaks.GroupTag,分组,
Calloatti.BannerTweaks.ModTag,模组,
Calloatti.BannerTweaks.Next,下一页,
Calloatti.BannerTweaks.Original,原始,
Calloatti.BannerTweaks.PanelTitle,旗帜,
Calloatti.BannerTweaks.Prev,上一页,
Calloatti.BannerTweaks.Top,首页,
