ID,Text,Comment
Building.BorderlessSquareBanner.Description,無邊框的可自訂方形旗幟。,
Building.BorderlessSquareBanner.DisplayName,無邊框方形旗幟,"Short, standing banner in a square bracket."
Building.BorderlessSquareBanner.FlavorDescription,著眼大局。,
Calloatti.BannerTweaks.Current,當前,
Calloatti.BannerTweaks.FolderTag,資料夾,
Calloatti.BannerTweaks.GroupTag,分組,
Calloatti.BannerTweaks.ModTag,模組,
Calloatti.BannerTweaks.Next,下一頁,
Calloatti.BannerTweaks.Original,原始,
Calloatti.BannerTweaks.PanelTitle,旗幟,
Calloatti.BannerTweaks.Prev,上一頁,
Calloatti.BannerTweaks.Top,首頁,
